title,artist,genre,year
Song 1,Artist 1,Rock,2011
Song 2,Artist 2,Jazz,1993
Song 3,Artist 3,Gospel,1993
Song 4,Artist 4,Jazz,1990
Song 5,Artist 5,RnB,1975
Song 6,Artist 6,Pop,2012
Song 7,Artist 7,Gospel,2008
Song 8,Artist 8,Metal,2003
Song 9,Artist 9,Electronic,1993
Song 10,Artist 10,Blues,1989
Song 11,Artist 11,Reggae,1974
Song 12,Artist 12,Techno,1974
Song 13,Artist 13,RnB,2008
Song 14,Artist 14,Hip Hop,1989
Song 15,Artist 15,Funk,2000
Song 16,Artist 16,Gospel,1975
Song 17,Artist 17,Funk,2018
Song 18,Artist 18,Metal,2012
Song 19,Artist 19,Funk,2005
Song 20,Artist 20,Hip Hop,1984
Song 21,Artist 21,Electronic,2010
Song 22,Artist 22,Funk,2009
Song 23,Artist 23,Rock,1987
Song 24,Artist 24,Rock,1992
Song 25,Artist 25,Rock,2008
Song 26,Artist 26,Techno,2017
Song 27,Artist 27,Hip Hop,1978
Song 28,Artist 28,Techno,1989
Song 29,Artist 29,Jazz,1993
Song 30,Artist 30,Gospel,1981
Song 31,Artist 31,Pop,1981
Song 32,Artist 32,Gospel,2007
Song 33,Artist 33,Gospel,1974
Song 34,Artist 34,Jazz,1999
Song 35,Artist 35,Electronic,1977
Song 36,Artist 36,Funk,2015
Song 37,Artist 37,Techno,1981
Song 38,Artist 38,Pop,1976
Song 39,Artist 39,Jazz,2013
Song 40,Artist 40,Dangdut,2002
Song 41,Artist 41,Jazz,1995
Song 42,Artist 42,Techno,1991
Song 43,Artist 43,RnB,1983
Song 44,Artist 44,Pop,1997
Song 45,Artist 45,Techno,1987
Song 46,Artist 46,Gospel,1982
Song 47,Artist 47,Techno,1985
Song 48,Artist 48,Jazz,2020
Song 49,Artist 49,Electronic,1982
Song 50,Artist 50,Electronic,1999
Song 51,Artist 51,Electronic,1976
Song 52,Artist 52,Techno,1978
Song 53,Artist 53,Blues,1999
Song 54,Artist 54,Pop,1998
Song 55,Artist 55,Jazz,2016
Song 56,Artist 56,Hip Hop,1988
Song 57,Artist 57,Electronic,1973
Song 58,Artist 58,Electronic,2011
Song 59,Artist 59,Electronic,1989
Song 60,Artist 60,Dangdut,1977
Song 61,Artist 61,Dangdut,1992
Song 62,Artist 62,Electronic,2020
Song 63,Artist 63,Pop,2014
Song 64,Artist 64,Metal,2015
Song 65,Artist 65,Gospel,2017
Song 66,Artist 66,RnB,1972
Song 67,Artist 67,Rock,1989
Song 68,Artist 68,Blues,1972
Song 69,Artist 69,Hip Hop,1998
Song 70,Artist 70,Hip Hop,1970
Song 71,Artist 71,Techno,1994
Song 72,Artist 72,Funk,1983
Song 73,Artist 73,Techno,1982
Song 74,Artist 74,Techno,1996
Song 75,Artist 75,Dangdut,2016
Song 76,Artist 76,Gospel,1989
Song 77,Artist 77,Pop,1982
Song 78,Artist 78,Reggae,2013
Song 79,Artist 79,Metal,1998
Song 80,Artist 80,Rock,1988
Song 81,Artist 81,Blues,1993
Song 82,Artist 82,Reggae,1995
Song 83,Artist 83,Metal,1991
Song 84,Artist 84,Pop,2012
Song 85,Artist 85,Hip Hop,1994
Song 86,Artist 86,Techno,2011
Song 87,Artist 87,Reggae,1999
Song 88,Artist 88,Blues,2018
Song 89,Artist 89,Dangdut,1992
Song 90,Artist 90,RnB,1982
Song 91,Artist 91,Electronic,2021
Song 92,Artist 92,Dangdut,2023
Song 93,Artist 93,Rock,2004
Song 94,Artist 94,Electronic,1998
Song 95,Artist 95,Techno,1998
Song 96,Artist 96,Techno,1980
Song 97,Artist 97,Jazz,1977
Song 98,Artist 98,Hip Hop,2018
Song 99,Artist 99,Blues,2016
Song 100,Artist 100,Electronic,1985
